TimeGenerated [UTC],OperationName,CorrelationId,Region,IsRequestSuccess,Category,TotalTime,CallerIpAddress,Method,Url,ClientProtocol,ResponseCode,BackendMethod,BackendUrl,BackendResponseCode,BackendProtocol,RequestSize,ResponseSize,Cache,BackendTime
"7/30/2024, 4:48:29.697 PM",Microsoft.ApiManagement/GatewayLogs,e3d1a0b0-6c57-426f-82e8-3ba7284e6686,East US,TRUE,GatewayLogs,1863,98.239.153.118,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/6d4e1e10-6ce7-f0da-717e-ea9517e88927/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/6d4e1e10-6ce7-f0da-717e-ea9517e88927/requests,200,HTTP/1.1,3629,223,none,1737
"7/30/2024, 4:48:31.666 PM",Microsoft.ApiManagement/GatewayLogs,cde237e7-e5c4-4f63-84ee-9086bdaa51e7,East US,TRUE,GatewayLogs,128,32.216.141.229,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/d8264c33-39ad-3d45-4566-ac4729ab9b86,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/d8264c33-39ad-3d45-4566-ac4729ab9b86,201,HTTP/1.1,649,351,none,51
"7/30/2024, 4:48:35.073 PM",Microsoft.ApiManagement/GatewayLogs,6eb169e9-7cbc-46d1-8f8b-0f008c03103a,East US,TRUE,GatewayLogs,398,128.143.96.160,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/6eeb25b3-0fde-d951-2027-a981b3e87fa5/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/6eeb25b3-0fde-d951-2027-a981b3e87fa5/requests,200,HTTP/1.1,1029,189,none,75
"7/30/2024, 4:48:35.152 PM",Microsoft.ApiManagement/GatewayLogs,c1add537-928f-454d-888c-c91a5452b7ab,East US,TRUE,GatewayLogs,339,137.26.142.129,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/ba51d3c0-4425-60df-55f4-8a3cc40cb0c6,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/ba51d3c0-4425-60df-55f4-8a3cc40cb0c6,201,HTTP/1.1,646,363,none,46
"7/30/2024, 4:48:37.308 PM",Microsoft.ApiManagement/GatewayLogs,9a080b0b-b031-4c9c-8ed4-f6501ebad1ae,East US,TRUE,GatewayLogs,214,98.144.204.231,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/26b5ca1f-e599-c394-64bc-fd49a266d3ff,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/26b5ca1f-e599-c394-64bc-fd49a266d3ff,201,HTTP/1.1,646,363,none,83
"7/30/2024, 4:48:37.561 PM",Microsoft.ApiManagement/GatewayLogs,542063d6-ff5d-448e-b563-29e654440a63,East US,TRUE,GatewayLogs,336,75.90.74.87,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/5e6b5bf9-23f2-26af-8a71-c98fb0d45cfe/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/5e6b5bf9-23f2-26af-8a71-c98fb0d45cfe/requests,200,HTTP/1.1,1032,190,none,162
"7/30/2024, 4:48:37.870 PM",Microsoft.ApiManagement/GatewayLogs,5705916a-ba76-417c-b0e4-e34e22716196,East US,TRUE,GatewayLogs,262,161.247.128.1,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/99c1bc4b-e472-41f3-95fd-ef85174ad4cd,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/99c1bc4b-e472-41f3-95fd-ef85174ad4cd,201,HTTP/1.1,648,351,none,71
"7/30/2024, 4:48:37.901 PM",Microsoft.ApiManagement/GatewayLogs,759d79ca-8c48-49f3-931c-3a5b539324c2,East US,TRUE,GatewayLogs,302,161.247.128.1,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/87fdad5d-63f6-4eb7-9faf-68f0dfed5606,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/87fdad5d-63f6-4eb7-9faf-68f0dfed5606,201,HTTP/1.1,665,365,none,68
"7/30/2024, 4:48:38.370 PM",Microsoft.ApiManagement/GatewayLogs,de741093-44ab-446f-9bc5-a726c28e9799,East US,TRUE,GatewayLogs,171,204.74.204.224,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/c9e84c97-08f3-ec5e-c58e-6a4e3ed348a7,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/c9e84c97-08f3-ec5e-c58e-6a4e3ed348a7,201,HTTP/1.1,657,363,none,57
"7/30/2024, 4:48:42.734 PM",Microsoft.ApiManagement/GatewayLogs,6fa5aa08-a785-4cd5-8da9-5fbc2a7402f6,East US,TRUE,GatewayLogs,764,98.97.122.41,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/d7fd4cc2-0320-2df9-a12a-9441b452fc66/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/d7fd4cc2-0320-2df9-a12a-9441b452fc66/requests,204,HTTP/1.1,706,157,none,518
"7/30/2024, 4:48:43.344 PM",Microsoft.ApiManagement/GatewayLogs,415c1734-f07c-4e76-ba73-cad2b071218d,East US,TRUE,GatewayLogs,822,24.51.36.202,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/e3d9d403-6978-959c-724c-8e828de4e75f/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/e3d9d403-6978-959c-724c-8e828de4e75f/requests,200,HTTP/1.1,687,2912,none,583
"7/30/2024, 4:48:44.484 PM",Microsoft.ApiManagement/GatewayLogs,31ffd449-f2d3-438d-a0f8-26c84e406618,East US,TRUE,GatewayLogs,477,166.137.171.6,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/0fc3cf95-e752-7d3f-2ef6-7845c1eafcc0/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/0fc3cf95-e752-7d3f-2ef6-7845c1eafcc0/requests,204,HTTP/1.1,690,157,none,123
